LADCD,FRACD,YEAR
E09000033,E31000046,resources/data/fire_and_rescue_lookup/lad_fra_lut_2016_dec.csv
E06000038,E31000003,resources/data/fire_and_rescue_lookup/lad_fra_lut_2016_dec.csv
E07000164,E31000027,resources/data/fire_and_rescue_lookup/lad_fra_lut_2016_dec.csv
E06000046,E31000021,resources/data/fire_and_rescue_lookup/lad_fra_lut_2016_dec.csv
E07000225,E31000037,resources/data/fire_and_rescue_lookup/lad_fra_lut_2016_dec.csv
E06000039,E31000003,resources/data/fire_and_rescue_lookup/lad_fra_lut_2016_dec.csv
E06000033,E31000015,resources/data/fire_and_rescue_lookup/lad_fra_lut_2016_dec.csv
E07000165,E31000027,resources/data/fire_and_rescue_lookup/lad_fra_lut_2016_dec.csv
E06000028,E31000047,resources/data/fire_and_rescue_lookup/lad_fra_lut_2016_dec.csv
E06000035,E31000022,resources/data/fire_and_rescue_lookup/lad_fra_lut_2016_dec.csv
E07000226,E31000037,resources/data/fire_and_rescue_lookup/lad_fra_lut_2016_dec.csv
E06000034,E31000015,resources/data/fire_and_rescue_lookup/lad_fra_lut_2016_dec.csv
E06000040,E31000003,resources/data/fire_and_rescue_lookup/lad_fra_lut_2016_dec.csv
E06000029,E31000047,resources/data/fire_and_rescue_lookup/lad_fra_lut_2016_dec.csv
E07000166,E31000027,resources/data/fire_and_rescue_lookup/lad_fra_lut_2016_dec.csv
E07000105,E31000022,resources/data/fire_and_rescue_lookup/lad_fra_lut_2016_dec.csv
E07000227,E31000037,resources/data/fire_and_rescue_lookup/lad_fra_lut_2016_dec.csv
E07000066,E31000015,resources/data/fire_and_rescue_lookup/lad_fra_lut_2016_dec.csv
E06000041,E31000003,resources/data/fire_and_rescue_lookup/lad_fra_lut_2016_dec.csv
E06000030,E31000047,resources/data/fire_and_rescue_lookup/lad_fra_lut_2016_dec.csv
E07000167,E31000027,resources/data/fire_and_rescue_lookup/lad_fra_lut_2016_dec.csv
E07000106,E31000022,resources/data/fire_and_rescue_lookup/lad_fra_lut_2016_dec.csv
E07000228,E31000037,resources/data/fire_and_rescue_lookup/lad_fra_lut_2016_dec.csv
